字段2,字段3
"
欧盟将在下个月举行有关中国的内部峰会
",下个月的这次会议是在欧盟领导人在布鲁塞尔举行的外交政策峰会上就中欧关系进行了讨论的几个小时后增加的，显示欧盟内部在如何对待中国的问题上存在分歧... 欧洲理事会主席米歇尔在与中国领导人习近平举行了视讯峰会后在推文中说：“我们希望与中国建立一种基于对等、负责任和基本公平的关系... 除了人权和贸易问题外，美中两国之间日益激烈的地缘政治对抗也使欧洲处于两难的境地
"
蓬佩奥按原计划访问亚洲 重申美国对亚洲盟友承诺
",在传出美国总统特朗普新冠病毒检测呈阳性的消息后，美国国务卿蓬佩奥说... 美国认为蓬佩奥与菅义伟的会晤是对美日不断加强的盟友关系的再次确认... 史达伟说：“正如我们过去所说，美日关系是印太和平、安全与繁荣的基石... 美中关系此时正处在低点，蓬佩奥过去一直强烈公开批判中国共产党和北京侵略性的外交政策... 蓬佩奥说，韩国是美国的关键伙伴国家，两国拥有共同的价值观是两国关系稳步发展的基础... 
"
美官员强调美、日、澳、印“四方会谈机制”是非正式组织
",美国国务卿蓬佩奥（Mike Pompeo）10月4日将开启对日本、蒙古和韩国... 除了与日本新首相菅义伟举行双边会谈外，蓬佩奥在日本的另一个重要工作参加10月6日在东京举行的美、日、澳、印四国外长会议... 虽然否认四方联盟的建立是为了牵制某个特定的国家，但是，史达伟在谈到与日本的盟友关系时说，“日本和美国，与我们在四方对话机制的其他伙伴一起，共同抵御中国霸凌邻国的行径... 
"
打赢对华数字贸易战 美专家：建立民主国家互联网
","这份周三（9月29日）发布的报告名为 《将数字贸易武器... 学院（INSEAD）新加坡分校教授和国际事务研究员迈克尔·维特（Michael A. Witt）在《准备美中脱钩》一文中说，
也许感受到国际环境已大不如前，中国电商巨头阿里巴巴创始人马云9月29日在... 他著有两本有关网络安全和网络战的书，并为外交关系协会撰写过《网络不安全时代的互联网治理》特别报告... "
"
焦点对话：五中全会在即 习近平想当党主席？
",中共建政71周年之际，第19届五中全会敲定召开日期，除了攸关经济发展的“十四五”规划之外，也传出习近平有意重新恢复设立“党主席”，然而美中关系不断恶化，再加上“红二代”出现反习声浪，即将登场的五中全会将为习近平带来哪些挑战... 政论作家陈破空表示，在五中全会前夕习近平再次释放出有意恢复中共党主席的风声是有意试探外界的反应，为巩固自己在中共党内地位并长期执政做准备... 
"
焦点对话：五中全会在即 习近平想当“党主席”？
","中共建政71周年之际，第19届五中全会宣布了召开的日期，除了攸关经济发展的“十四五”规划之外，也传出习近平有意重新恢复设立党主席一职，然而美中关系的巨变加上""红二代""的反弹，五中全会将为习近平带来哪些挑战？"
"
焦点对话：五中全会在即 习近平想当党主席？
","中共建政71周年之际，第19届五中全会敲定召开日期，除了攸关经济发展的""十四五""规划之外，也传出习近平有意重新恢复设立""党主席""，然而美中关系不断恶化，再加上""红二代""出现反习声浪，即将登场的五中全会将为习近平带来哪些挑战？"
"

VOA卫视美国观察(重播)
","美国观察(2020年10月2日) 白宫国安会副国安顾问博明说，为了不让中国政府获得发展解放军能力或用来镇压中国人民的技术，将以“手术式”的精准方式，来限制约1%的中国学生签证。10月1日中共建政纪念日之际，民主活动人士在全球50多个城市举行抗议，反对北京政权。在美国首都华盛顿，多个民主活动团体,在国会大厦前举行集会，抗议中共对维吾尔穆斯林、藏人、港人和中国异议人士的打压。多位美国国会议员也到会并发言。由美国国会众议院共和党人组成的中国工作组日前发布最新报告，细数美中关系近年来在各个领域的竞争与变化，为华盛顿全面应对来自北京的挑战提出政策和建议，旨在逆转实施多年、被认为已经“失败”的对华接触战略。"
"
特朗普与夫人病毒检测呈阳性，中国当局控制舆论反应
",胡锡进和中共控制下的中国媒体一直没有向中国公众报告中国国家主席、中共领袖习近平在中国疫情发展之初隐瞒和淡化疫情的赌博被国际社会普遍认为使原本应是一个中国地方性公共卫生事件的疫情变成... 中共政权和习近平为此受到包括美国特朗普总统在内的国际社会的强烈批评；中国的盟国伊朗卫生部发言人多次批评中国当局发布淡化疫情疫情的消息是跟国际社会开了一个令人痛苦的玩笑
"
美中两军互为“假想敌”，爆发冲突或局部战争机率多大？
","郑继文说：“中美两国随着大国博弈强度的越来越大，互视为假想敌的味道会越来越强烈... 美中关系恶化军事对峙加剧
近年，尤其是最先开始在武汉爆发的新冠病毒引发全球大流行病危机，给各国造成无可估量的生命及经济损失之际，华盛顿和北京的关系迅速恶化，在几乎所有问题上都处于尖锐对立的状态，从贸易到人权，从举国体制到南中国海的主权... "
"
美中两军互为“假想敌” 爆发冲突或局部战争机率多大？
",在美中关系近年不断恶化，尤其是贸易和最先开始在武汉爆发的新冠病毒疫情更令双方紧张之际，两国军方也在调整战略，不断释出对方为“假想敌”的信号。不过，军事问题观察人士表示，美中两军在冲突热点的南中国海和台海爆发冲突和局部战争的机率有限，双方有沟通管控危机的机制。
"
国会两党持续关注西藏人权 美议员：我们不会停止发声
","美国国会暨行政当局中国委员会（CECC）星期三（9月30日）就西藏人权现状召开听证会... 委员会主席麦戈文众议员（Rep. Jim McGovern, D-MA）多次重申，“我们会持续呼吁人们关注正在发生的事情... “我认为中国政府有种错觉，认为他们可以让我们感到疲惫不堪，以为我们只... 这项法案规定，中共官员不得干涉未来包括达赖喇嘛在内的藏传佛教领袖转世，否则美方将予以制裁... "
"
50位美国参议员写信促莱特希泽与台湾洽谈全面贸易协定
",美国参议院半数跨党派议员星期四... 台湾驻美代表萧美琴在转推里施的推文中感谢“台湾连线”领导英霍夫及梅嫩德斯等议员写信给美国贸易代表，为美台贸易谈判提出倡议... 声明说，“驻美代表处对于美国国会两党长久以来支持深化台美实质关系，力挺台湾拓展国际空间、捍卫我主权、民主自由制度及台海安全等各项具体行动，表达诚挚感谢，并期盼继续与美国国会合作，推动台美伙伴关系升级
"
美国政府公布有关强迫劳动的报告，中国远超任何国家
",美国政府星期三（9月30日）发布了有关国际... 劳工部在声明中说，“这份强迫劳动产品清单的公布是美国政府解决中国新疆维吾尔自治区强迫劳动问题的广泛努力的一部分... “今天的名单显示了中国——世界第二大经济体——在支持这些剥削行为方面所扮演的令人不安的角色，” 劳工部长斯卡利亚在声明中说... 美国劳工部在这份报告中说，维吾尔人被转移到其他地方扩大了供应链中存在强迫劳动的风险... 
"
美众院外委会无异议通过《香港人民自由和选择法》
",Status），并在移民政策类别上将香港独立于中国大陆的移民，同时推动国际合作为香港提供难民地位的保护，尤其是那些在抗议活动中发挥重要作用的人，并加速处理遭到政治迫害的香港人... 法案还鼓励理念相近的... 匡希恒众议员办公室告诉美国之音，这部新版《香港人民自由和选择法》其实和今年7月份同样由匡希恒众议员与马林诺夫斯基众议员共同提出的国防授权法中当中的一项修正案大致相同... 
"
VOA卫视美国观察
","美国观察(2020年10月2日) 白宫国安会副国安顾问博明说，为了不让中国政府获得发展解放军能力或用来镇压中国人民的技术，将以“手术式”的精准方式，来限制约1%的中国学生签证。10月1日中共建政纪念日之际，民主活动人士在全球50多个城市举行抗议，反对北京政权。在美国首都华盛顿，多个民主活动团体,在国会大厦前举行集会，抗议中共对维吾尔穆斯林、藏人、港人和中国异议人士的打压。多位美国国会议员也到会并发言。由美国国会众议院共和党人组成的中国工作组日前发布最新报告，细数美中关系近年来在各个领域的竞争与变化，为华盛顿全面应对来自北京的挑战提出政策和建议，旨在逆转实施多年、被认为已经“失败”的对华接触战略。"
"
美国观察(2020年10月2日)
","白宫国安会副国安顾问博明说，为了不让中国政府获得发展解放军能力或用来镇压中国人民的技术，将以“手术式”的精准方式，来限制约1%的中国学生签证。 10月1日中共建政纪念日之际，民主活动人士在全球50多个城市举行抗议，反对北京政权。在美国首都华盛顿，多个民主活动团体,在国会大厦前举行集会，抗议中共对维吾尔穆斯林、藏人、港人和中国异议人士的打压。多位美国国会议员也到会并发言。 由美国国会众议院共和党人组成的中国工作组日前发布最新报告，细数美中关系近年来在各个领域的竞争与变化，为华盛顿全面应对来自北京的挑战提出政策和建议，旨在逆转实施多年、被认为已经“失败”的对华接触战略。"
